Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
5,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,B,Letter Grade,B,Keywords Amer Std
2,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,B,Letter Grade,B-,Keywords Amer Std
2,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,C,Letter Grade,C+,Keywords Amer Std
11,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,C,Letter Grade,C,Keywords Amer Std
3,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,C,Letter Grade,C-,Keywords Amer Std
1,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,D,Letter Grade,D,Keywords Amer Std
1,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,D,Letter Grade,D-,Keywords Amer Std
6,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,Credit,Non-Letter Grade,Pass,Keywords Amer Std
10,11024,,11024,,11024,Michael Cohen,,American Studies,5,003,A,Letter Grade,A,Keywords Amer Std
4,11024,,11024,,11024,Michael Cohen,,American Studies,5,003,B,Letter Grade,B,Keywords Amer Std
3,11024,,11024,,11024,Michael Cohen,,American Studies,5,003,Credit,Non-Letter Grade,Pass,Keywords Amer Std
1,11026,,11026,,11026,Christine Palmer; Christine Palmer,,American Studies,199,003,Credit,Non-Letter Grade,Pass,Superv Indep Stud
4,11306,,11306,,11306,Kim Shelton,,Anc Hist & Medit Archae,299,003,Credit,Non-Letter Grade,Satisfactory,Special Study
2,11402,,11402,,11402,Ashley Lipps; Ashley Lipps,,Anthropology,1,001,A,Letter Grade,A+,Intro To Bio Anthro
2,11402,,11402,,11402,Ashley Lipps; Ashley Lipps,,Anthropology,1,001,A,Letter Grade,A,Intro To Bio Anthro
3,11402,,11402,,11402,Ashley Lipps; Ashley Lipps,,Anthropology,1,001,A,Letter Grade,A-,Intro To Bio Anthro
2,11402,,11402,,11402,Ashley Lipps; Ashley Lipps,,Anthropology,1,001,B,Letter Grade,B+,Intro To Bio Anthro
