Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
6,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,Credit,Non-Letter Grade,Pass,Slavery And African
1,00635,,00635,,00635,Ula Taylor,,African American Studies,126,001,A,Letter Grade,A,Africn Am Women His
1,00635,,00635,,00635,Ula Taylor,,African American Studies,126,001,A,Letter Grade,A-,Africn Am Women His
3,00635,,00635,,00635,Ula Taylor,,African American Studies,126,001,B,Letter Grade,B+,Africn Am Women His
2,00635,,00635,,00635,Ula Taylor,,African American Studies,126,001,B,Letter Grade,B,Africn Am Women His
2,00635,,00635,,00635,Ula Taylor,,African American Studies,126,001,B,Letter Grade,B-,Africn Am Women His
1,00635,,00635,,00635,Ula Taylor,,African American Studies,126,001,C,Letter Grade,C+,Africn Am Women His
2,00635,,00635,,00635,Ula Taylor,,African American Studies,126,001,Credit,Non-Letter Grade,Pass,Africn Am Women His
5,00638,,00638,,00638,Kihana Ross; Matthew Horton; Nailah Suad-Bakari,,African American Studies,C133A,001,A,Letter Grade,A+,Race Urban Sch
7,00638,,00638,,00638,Kihana Ross; Matthew Horton; Nailah Suad-Bakari,,African American Studies,C133A,001,A,Letter Grade,A,Race Urban Sch
1,00638,,00638,,00638,Kihana Ross; Matthew Horton; Nailah Suad-Bakari,,African American Studies,C133A,001,A,Letter Grade,A-,Race Urban Sch
9,00641,,00641,,00641,Michel Laguerre,,African American Studies,C134,001,A,Letter Grade,A,Info Tech And Soc
4,00641,,00641,,00641,Michel Laguerre,,African American Studies,C134,001,A,Letter Grade,A-,Info Tech And Soc
1,00641,,00641,,00641,Michel Laguerre,,African American Studies,C134,001,B,Letter Grade,B,Info Tech And Soc
14,00644,,00644,,00644,Michel Laguerre,,African American Studies,137,001,A,Letter Grade,A,Multicultural Comm
2,00644,,00644,,00644,Michel Laguerre,,African American Studies,137,001,B,Letter Grade,B+,Multicultural Comm
9,00647,,00647,,00647,Nikki Jones,,African American Studies,139,001,A,Letter Grade,A+,Sel Top:Africam Soc
26,00647,,00647,,00647,Nikki Jones,,African American Studies,139,001,A,Letter Grade,A,Sel Top:Africam Soc
10,00647,,00647,,00647,Nikki Jones,,African American Studies,139,001,A,Letter Grade,A-,Sel Top:Africam Soc
3,00647,,00647,,00647,Nikki Jones,,African American Studies,139,001,B,Letter Grade,B+,Sel Top:Africam Soc
3,00647,,00647,,00647,Nikki Jones,,African American Studies,139,001,B,Letter Grade,B,Sel Top:Africam Soc
1,00647,,00647,,00647,Nikki Jones,,African American Studies,139,001,F,Letter Grade,F,Sel Top:Africam Soc
1,00647,,00647,,00647,Nikki Jones,,African American Studies,139,001,No Credit,Non-Letter Grade,Not Pass,Sel Top:Africam Soc
1,00649,,00649,,00649,Hardy Frye; Sonya Dugas,,African American Studies,139,002,A,Letter Grade,A,Sel Top:Africam Soc
1,00649,,00649,,00649,Hardy Frye; Sonya Dugas,,African American Studies,139,002,A,Letter Grade,A-,Sel Top:Africam Soc
4,00649,,00649,,00649,Hardy Frye; Sonya Dugas,,African American Studies,139,002,B,Letter Grade,B+,Sel Top:Africam Soc
1,00649,,00649,,00649,Hardy Frye; Sonya Dugas,,African American Studies,139,002,B,Letter Grade,B-,Sel Top:Africam Soc
1,00649,,00649,,00649,Hardy Frye; Sonya Dugas,,African American Studies,139,002,C,Letter Grade,C,Sel Top:Africam Soc
2,00649,,00649,,00649,Hardy Frye; Sonya Dugas,,African American Studies,139,002,Credit,Non-Letter Grade,Pass,Sel Top:Africam Soc
1,00649,,00649,,00649,Hardy Frye; Sonya Dugas,,African American Studies,139,002,No Credit,Non-Letter Grade,Not Pass,Sel Top:Africam Soc
5,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,A,Letter Grade,A,Cultural Studies
8,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,A,Letter Grade,A-,Cultural Studies
5,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,B,Letter Grade,B+,Cultural Studies
5,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,B,Letter Grade,B,Cultural Studies
2,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,B,Letter Grade,B-,Cultural Studies
1,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,C,Letter Grade,C+,Cultural Studies
2,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,C,Letter Grade,C,Cultural Studies
1,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,C,Letter Grade,C-,Cultural Studies
1,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,D,Letter Grade,D,Cultural Studies
1,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,F,Letter Grade,F,Cultural Studies
2,00653,,00653,,00653,Leigh Raiford,,African American Studies,144,001,No Credit,Non-Letter Grade,Not Pass,Cultural Studies
7,00656,,00656,,00656,Aya De Leon,,African American Studies,158A,001,A,Letter Grade,A,Poetry 4 Peop:Teach
1,00656,,00656,,00656,Aya De Leon,,African American Studies,158A,001,B,Letter Grade,B,Poetry 4 Peop:Teach
1,00656,,00656,,00656,Aya De Leon,,African American Studies,158A,001,No Credit,Non-Letter Grade,Not Pass,Poetry 4 Peop:Teach
2,00659,,00659,,00659,Aya De Leon,,African American Studies,159,001,A,Letter Grade,A,Spec Top Afam Lit
2,00659,,00659,,00659,Aya De Leon,,African American Studies,159,001,A,Letter Grade,A-,Spec Top Afam Lit
1,00659,,00659,,00659,Aya De Leon,,African American Studies,159,001,B,Letter Grade,B,Spec Top Afam Lit
1,00659,,00659,,00659,Aya De Leon,,African American Studies,159,001,B,Letter Grade,B-,Spec Top Afam Lit
1,00659,,00659,,00659,Aya De Leon,,African American Studies,159,001,F,Letter Grade,F,Spec Top Afam Lit
2,00665,,00665,,00665,Chiyuma Elliott,,African American Studies,159,003,A,Letter Grade,A,Spec Top Afam Lit
1,00665,,00665,,00665,Chiyuma Elliott,,African American Studies,159,003,B,Letter Grade,B,Spec Top Afam Lit
6,00674,,00674,,00674,Nailah Suad-Bakari,,African American Studies,197,001,Credit,Non-Letter Grade,Pass,Field Study
49,00676,,00676,,00676,Nailah Suad-Bakari,,African American Studies,197,002,Credit,Non-Letter Grade,Pass,Field Study
33,00683,,00683,,00683,Nailah Suad-Bakari,,African American Studies,198,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
15,00686,,00686,,00686,Nailah Suad-Bakari,,African American Studies,198,003,Credit,Non-Letter Grade,Pass,Directed Group Stdy
9,00689,,00689,,00689,Ula Taylor,,African American Studies,198,004,Credit,Non-Letter Grade,Pass,Directed Group Stdy
4,00701,,00701,,00701,Leigh Raiford,,African American Studies,198,008,Credit,Non-Letter Grade,Pass,Directed Group Stdy
10,00713,,00713,,00713,Christina Bush; Michael Cohen,,African American Studies,198BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
11,00716,,00716,,00716,Kristen Sun; Michael Cohen,,African American Studies,198BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,00719,,00719,,00719,Nikki Jones,,African American Studies,199,001,Credit,Non-Letter Grade,Pass,Superv Indep Study
1,00722,,00722,,00722,Nikki Jones,,African American Studies,199,002,Credit,Non-Letter Grade,Pass,Superv Indep Study
7,00734,,00734,,00734,Darieck Scott,,African American Studies,240,001,A,Letter Grade,A,Spec Topics
1,00734,,00734,,00734,Darieck Scott,,African American Studies,240,001,A,Letter Grade,A-,Spec Topics
1,00734,,00734,,00734,Darieck Scott,,African American Studies,240,001,No Credit,Non-Letter Grade,Not Pass,Spec Topics
3,00736,,00736,,00736,Stephen Small,,African American Studies,241,001,A,Letter Grade,A,Spec Topics
4,00737,,00737,,00737,Tianna Paschel,,African American Studies,241,002,A,Letter Grade,A,Spec Topics
11,00743,,00743,,00743,Leigh Raiford,,African American Studies,296,001,Credit,Non-Letter Grade,Satisfactory,Dir Diss Research
2,00764,,00764,,00764,Khatharya Um,,African American Studies,C375,001,A,Letter Grade,A,Critical Pedagogy
2,00764,,00764,,00764,Khatharya Um,,African American Studies,C375,001,A,Letter Grade,A-,Critical Pedagogy
1,00764,,00764,,00764,Khatharya Um,,African American Studies,C375,001,Credit,Non-Letter Grade,Satisfactory,Critical Pedagogy
9,00767,,00767,,00767,Leigh Raiford,,African American Studies,602,001,Credit,Non-Letter Grade,Satisfactory,Ind Stdy For Doc St
2,01653,,01653,,01653,Leo Simon; Thibault Fally,,Ag & Resource Econ & Pol,201,001,A,Letter Grade,A+,Industrial Organz'N
3,01653,,01653,,01653,Leo Simon; Thibault Fally,,Ag & Resource Econ & Pol,201,001,A,Letter Grade,A,Industrial Organz'N
3,01653,,01653,,01653,Leo Simon; Thibault Fally,,Ag & Resource Econ & Pol,201,001,A,Letter Grade,A-,Industrial Organz'N
5,01653,,01653,,01653,Leo Simon; Thibault Fally,,Ag & Resource Econ & Pol,201,001,B,Letter Grade,B+,Industrial Organz'N
1,01653,,01653,,01653,Leo Simon; Thibault Fally,,Ag & Resource Econ & Pol,201,001,B,Letter Grade,B,Industrial Organz'N
4,01659,,01659,,01659,Charles Gibbons,,Ag & Resource Econ & Pol,210,001,A,Letter Grade,A-,Prob And Stat
3,01659,,01659,,01659,Charles Gibbons,,Ag & Resource Econ & Pol,210,001,B,Letter Grade,B+,Prob And Stat
7,01659,,01659,,01659,Charles Gibbons,,Ag & Resource Econ & Pol,210,001,B,Letter Grade,B,Prob And Stat
2,01659,,01659,,01659,Charles Gibbons,,Ag & Resource Econ & Pol,210,001,B,Letter Grade,B-,Prob And Stat
1,01668,,01668,,01668,Michael Anderson,,Ag & Resource Econ & Pol,213,001,A,Letter Grade,A+,Applied Econometric
5,01668,,01668,,01668,Michael Anderson,,Ag & Resource Econ & Pol,213,001,A,Letter Grade,A,Applied Econometric
10,01668,,01668,,01668,Michael Anderson,,Ag & Resource Econ & Pol,213,001,A,Letter Grade,A-,Applied Econometric
11,01668,,01668,,01668,Michael Anderson,,Ag & Resource Econ & Pol,213,001,B,Letter Grade,B+,Applied Econometric
8,01668,,01668,,01668,Michael Anderson,,Ag & Resource Econ & Pol,213,001,B,Letter Grade,B,Applied Econometric
3,01668,,01668,,01668,Michael Anderson,,Ag & Resource Econ & Pol,213,001,B,Letter Grade,B-,Applied Econometric
1,01668,,01668,,01668,Michael Anderson,,Ag & Resource Econ & Pol,213,001,C,Letter Grade,C-,Applied Econometric
10,01674,,01674,,01674,Aprajit Mahajan; Michael Anderson,,Ag & Resource Econ & Pol,219A,001,A,Letter Grade,A,Econometric Proj
3,01674,,01674,,01674,Aprajit Mahajan; Michael Anderson,,Ag & Resource Econ & Pol,219A,001,A,Letter Grade,A-,Econometric Proj
3,01674,,01674,,01674,Aprajit Mahajan; Michael Anderson,,Ag & Resource Econ & Pol,219A,001,B,Letter Grade,B+,Econometric Proj
4,01677,,01677,,01677,David Zilberman; Ethan Ligon,,Ag & Resource Econ & Pol,241,001,A,Letter Grade,A,"Production,Tec&Risk"
24,01680,,01680,,01680,Brian Wright,,Ag & Resource Econ & Pol,249,001,Credit,Non-Letter Grade,Satisfactory,Policy Workshop
2,01683,,01683,,01683,Elisabeth Sadoulet; Jeremy Magruder,,Ag & Resource Econ & Pol,C251,001,A,Letter Grade,A,Econ Development
1,01683,,01683,,01683,Elisabeth Sadoulet; Jeremy Magruder,,Ag & Resource Econ & Pol,C251,001,A,Letter Grade,A-,Econ Development
